number,description,citation,editor,type,location,date,text,notes,bibliography
351,wall of tomb,SE 70 (2005) REE 11,E. Pellegrini,Funerary Texts,Ager Volcentanus (Poggio Grezzano),225-200,ramθa puxx[ – – – ],,
352,weight (bronze),PP (2005),Giulio Facchetti &amp; Koen Wylin,Dedications,Caere,350,raθs · turmsal	velus luvχmsal	θusti · θui meθlmθ	mu[n]sθ[e]c [ · ] ims · epl	macuni · hercles	alpan tece IIC	ei · utta θesca	ac · penθa · [ - (-)] · hu	lave · zilci·  laθ	ale · nulaθes ·,"Bibliography:		Cristofani, Mauro. 1996. Due Testi dell’Italia Preromana. 1. Per	regna Maricae. 2. Aequipodium Etruscum. Roma: Consiglio Nazionale delle	Ricerche.	Facchetti, Giulio M. &amp; Koen Wylin. 2005. Note preliminary sull’aequipondium di Cere. AION 23 (in press).	—. 2005. Nuove letture sull’aequipondium di Caere. PP XX.	Maggiani, Adriano. 1996. Appunti sulle magistrature etrusche. SE 62.95-138 [n. 69, pg. 136].	—. 2001a. Pesi e bilance in Etruria. Pondera. Pesi e Misure	nell’Antichità, a cura di C. Corti, N. Giordani, pp. 67-74 (pg. 67, 72,	n. II.3, fig. 35). Museo della Bilancia: Campogalliano.	—. 2001b. II.B.5.2. Peso. In Moretti Sgubini, Anna Maria (a cura	di), Veio, Cerveteri, Vulci. Città d’Etruria a Confronto. Catalogo della	Mostra, pg. 153 (with photo and facsimile). Roma: “L’Erma” di	Bretschneider.	—. 2002. La libbra etrusca. Sistemi ponderali e monetazione. SE 65-68.163-199.",
353,fragment of kyathos (bucchero),To appear SE 71 (2006),Rex E. Wallace,Dedications,Ager Saenensis (Murlo),600,mi[ni velθ]ur paiθinaie[s mu]lu[vani]ce,"It is possible that the family name  paiθinaies did not end with	final /s/. Due to damage to the kyathos it is impossible to determine	the amount of space available for letters with any certainty.		Bibliography:			Colonna, Giovanni. 2005. SE 70, REE 52.	Wallace, Rex E. To appear 2006.  Etruscan Inscriptions on Fragments of Bucchero Kyathoi Recovered at Poggio Civitate. SE 71.",
354,fragment of kyathos (bucchero),SE 70 (2006) REE 53,Giovanni Colonna,Dedications,Ager Saenensis (Murlo),600,[mini mulu]van[ice – – – ],"Bibliography:		Wallace, Rex E. To appear 2006. Etruscan Inscriptions on Fragments of Bucchero Kyathoi Recovered at Poggio Civitate. SE 71.",
355,wall of tomb,SE 70 (2005) REE 13 (tav. XLIX),Giovanni Colonna,Funerary Texts,Caere,Neo-Etruscan,cae is[na] LII,The editor notes that the family name could also be restored as is[nas].,
356,aryballos (Etrusco-Corinthian ceramic),SE 70 (2005) REE 19 (tav. XLIX),Daniele F. Maras,Proprietary Texts,Veii,600,u.na. uras pep.unas.,The final /s/ of pep.unas. was spelled by means of the letter X. The inscription was incised in dextroverse direction.,
357,Attic kylix (ceramic),SE 70 (2005) REE 20 (tav. XLIX),Lidia Falcone,Proprietary Texts,Capua,475-450,calve,,
358,kylix (ceramic),SE 70 (2005) REE 24 (tav. LI),Carmine Pellegrino,Proprietary Texts,Campania (Pontecagnano),500-475,mi cailes cutus,,"Colonna, Giovanni. 2005. SE 70, REE 27, 303."
359,kothon (ceramic),SE 70 (2005) REE 29 (tav. LI),Carmine Pellegrino,Religious Texts,Campania (Pontecagnano),500-475,turan,"Bibliography:			Colonna, Giovanni. 2005. SE 70, REE 29, 305-306.",
360,fragment of plate (ceramic),SE 70 (2005) REE 31 (tav. LII),Adriano Maggiani,Proprietary Texts,Origin Unknown,Neo-Etruscan,[ – – – lau]χumsn[a – – – ],,
361,funerary urn (ceramic),SE 70 (2005) REE 32 (tav. LII),Adriano Maggiani,Funerary Texts,Origin Unknown,150-100,lθ : anie : lθ : celtalval :,,
362,fragment of plaque (ivory),,Rex E. Wallace,Tesserae Hospitales,Ager Saenensis (Murlo),600,[ – – – ]as vheisalna[ –  –  – ],"The inscription was incised on the reverse of a plaque in the form of a female figurine. It is possible that the tessera belonged to a woman, in which case one might propose to restore the text in the following way: [mi veleli]as vheisalna[ia].",
363,fragment of plaque (bone),,Rex E. Wallace,Tesserae Hospitales,Ager Saenensis (Murlo),600,[ – – – ]xσxxxilax[–  –  – ],The inscription was incised on the reverse of a plaque which seems to have the form of an animal.,
364,fragment of cup (bucchero),,Rex Wallace,Dedications,Ager Saenensis (Murlo),600,[ – – – ]m[u]lu[ – – – ],"If the second visible letter is to be read as lambda, as appears to be the case, then the fragment preserves either the word m[u]lu ‘given’ in its entirety or the first portion of the past tense verb form m[u]lu[vanice]	‘gave (in honor of)’. Under either interpretation the inscription	belongs to the class of a dedications and permits additional	reconstruction:		(a) [mi] m[u]lu + name in pertinentive case	(b) [mini] m[u]lu[vanice] + name in nominative/accusative case",
365,fragment of cup (bucchero),"Orientalizing Bucchero (2003) 83 (figure 30, no. 137; plate 25, no. 137)",Jon Berkin,Other/Unclear Texts,Ager Saenensis (Murlo),600,[ – – – ]urθ[ – – – ],"Bibliography:		Berkin, Jon. 2003. The Orientalizing Bucchero from the Lower Building at Poggio Civitate (Murlo). Boston, MA: Archaeological Institute of America.",
366,fragment of cup (bucchero),"Orientalizing Bucchero (2003) 83-84 (figure 30, no. 138; plate 25, no. 138)",Jon Berkin,Other/Unclear Texts,Ager Saenensis (Murlo),600,[ – – – ]alv[  – – – ],"Berkin (2003: 84) describes the initial letter as ‘perhaps part of a	beta’. This is virtually impossible because the Etruscan writing system	made no use of this letter and it appears only in abecedaria of the	early to mid-archaic period. It is more likely that we have an alpha	whose medial bar slopes in the direction of writing so dramatically that	it meets the left-most oblique stroke near its foot.		Bibliography:		Berkin, Jon. 2003. The Orientalizing Bucchero from the Lower Building at Poggio Civitate (Murlo). Boston, MA: Archaeological Institute of America.",
367,fragment of cup (bucchero),"Orientalizing Bucchero (2003) 84 (figure 30, no. 139; plate 25, no. 139)",Jon Berkin,Other/Unclear Texts,Ager Saenensis (Murlo),600,[ – – – ]tinai[ – – – ],"Berkin (2003: 84) describes the first legible letter as ‘pi or c'. The	puncts described by Berkin appear to be pits in the ceramic, not	word-punctuation. The surviving portion of this inscription is perhaps	the final portion of a feminine family name.			Bibliography:		Berkin, Jon. 2003. The Orientalizing Bucchero from the Lower Building at Poggio Civitate (Murlo). Boston, MA: Archaeological Institute of America.",
368,fragment of vase (bucchero),,Greg Warden,Other/Unclear Texts,Ager Faesulanus (Poggio Colla),600-575,[ – – – ]nutas[ – – – ],The inscription may also be read as [ – – – ]mutas[ – – – ]. Of the first letter only the upper portion of an oblique bar is visible.,
369,fragment of cup (ceramic),Riflessioni sul Tavola di Cortona (2002) 67-69 (tav. 3-4),Adriano Maggiani,Proprietary Texts,Rusellae,200,[ – – – ]xtrus · apanal · θucl ·,,"Maggiani, Adriano. 2002. Riflessioni sulla Tavola di Cortona. In M. Pandolfini and A. Maggiani (eds.), La Tabula Cortonensis e il suo contesto storico-archaeologico. Atti dell’Incontro di studio, 22 giugno 2001 (Rome 2002), pp. 65-75. Roma: Consiglio Nazionale delle Ricerche."
370,kyathos (bucchero),"RM 113 (2007) 217–240 (fig. 4, 7, 9, 12)",Luca Cappuccini,Funerary Texts,Vetulonia (Santa Teresa),650-630,mini l[a]uχu[ś]hie paiθin[a]σ muluvan[ice] mlak[aσ],"The inscription was inscribed in a spiral up around the upper part of the conical base of the kyathos. The /s/ of paiθin[a]σ is represented by the letter san.	The reconstruction of mlak[aσ] as a genitive in agreement with the	gentilicium paiθin[a]σ does not make sense syntactically. Reconstruction	as a pertinentive, mlak[aσi], with an interpretation along the lines of	""to a good (man)"" seems much more likely.","Cappuccini, Luca. 2007. I kyathoi di Santa Teresa di Gavorrano e il	ceramista dei Paiθina. Mitteilungen des Deutschen Archaeologischen	Instituts. Römische Abteilung 113.217-240. Cappuccini, Luca and Luigi	Donati. 2007. Gavorrano (GR). Santa Teresa. Notizario Toscana 3.679-682."
371,carinted cup (bucchero),E 1 (1974),Giovanni Colonna,Funerary Texts,Eboli,575-525,qupe,"Colonna describes the /p/ as having a hook, and writes that the /q/ has a very small circle.","Colonna (1974), n.20; Firenze 1985, p.132, 5.12."
372,fragment of kylix (type c),E 2 (1984),Giovanni Colonna,Funerary Texts,Eboli,Unknown,[c]uliχna a[---],Spacing between the words.,
373,kantharos (bucchero),PC 1-4,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),600-580,ac,Found inscribed vertically on the handles of four bucchero kantharoi on high pedastals.,"Cristofani (1985), n.61 (only mentions three); Cerchiai (1990) p.8, fig.15, 3-5 (no.42-44)."
374,small cup (bucchero),PC 5,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),600-575,kane,Right-handed cup found on a high pedastal in the tomb of a child.,"Colonna (1974), n.11; Modesti, Bailo (1984), n.1; Cristofani (1985), n.52; Cerchiai (1990), p.16"
375,fragments of cup (bucchero),PC 6,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),600-575,acev	mi θavna velariiuθiia,"Found near the via Cavallegeri, a dwelling at the entrance to a stone	circle. The last eight letters of the second inscription were written in	a straight, upright fashion. The theta, specifically, is angular, and	the rho has an asymmetric curve.","Colonna (1994), Appendix II, A. Lupia. Tavv. III, 2; IV, 1."
376,cup (bucchero),PC 7,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),550-525,mi punpunn[a]s larices,Written circularly on the inside of the vessel.,"Colonna (1974), n.13; Agostiniani (1982), p.66, n.78; Modesti, Bailo (1984), n.3; Firenze 1985, p.131, 5.10; Cristofani (1985), n.54."
377,small cup (bucchero),PC 8,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),550-525,ra[---],,Unpublished.
378,small cup (bucchero),PC 9,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),530-510,mi θanuχvilus muriias,Found at outside of tomb belonging to a man 25-30 years old near stone circle. Bucchero cup with receding hem.,"Colonna (1994), Appendix II, M. Cuozzo. Tavv. I, 2; II, 4."
379,two-handled vase (bucchero),PC 10,Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),525-500,mi zavena apulas sepunes	θ[...] kalesias,"Found at the tomb of a woman about 60 years old. The first inscription	is on the body of the vessel and is written in a continuously expanding	script. The second inscription is written on the bottom in very small	letters and in different hands, suggesting that it may be very old. The	theta is crossed.","Colonna (1974), n.12 (kalesia); Agostiniani (1982), p.65, n.77; Modesti, Bailo (1984), n.2 (kalesias); Firenze 1985"
380,fragments of cup (bucchero),PC 11,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),Unknown,amina[---]s,"Found at the tomb of a woman about 60 years old. The first inscription	is on the body of the vessel and is writting in a continuously expanding	script. The second inscription is written on the bottom in very small	letters and in different hands, suggesting that it may be very old. The	theta is crossed.","Modesti, Bailo (1984), n.14; Cristofani (1985), n.59"
381,"small barrel, askos (bucchero)",PC 12,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),Unknown,χace,Found above tomb 2720 at Pontecagnano.,"Colonna (1974), n.14; Modesti, Bailo (1984), n.4; Cristofani (1985),	n.55 (with the alternate lettering aceχ, totally unfounded)."
382,small lid (bucchero),PC 13,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),600,mi θanerial,"Belonged to a woman of 45-55 years of age. The inscription was carved on	the inside in a long curve around the edge. The theta has a vertical	cross, and the second /i/ was added as a pseudoligature to the /r/.","Colonna (1994), Appendix, Tav.II, 2"
383,small cup (bucchero),PC 14,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),600,mi araθnas,The theta is pointed.,"Modesti, Bailo (1984), n.10; Cristofani (1985), n.62"
384,fragment of cup(?) (bucchero),PC 15,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),600-575,[---]muln[---],"This piece was found in the same site as  PC 6, at a dwelling near the via Cavalleggeri.","Colonna (1994), Appendix, Tav.II, 2"
385,fragments of kylix,PC 16,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),600-575,[-?-]muriius ux[---],The kylix lacks a lip. The third /u/ could be another /l/. The	inscription was written circularly around the inside of the vessel.,"Colonna (1974), n.15; Modesti, Bailo (1984), n.5; Cristofani (1985), n.56, Tav.II, 3"
386,kylix,PC 17,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),500-480,θaneśa sestuminas,"The kylix lacks a foot and a handle. Its precise origin is unknown,	although P. Laveglia suspects Salerno. The inscription was written on	the inside of the vessel in a spiral near the edge.","Colonna (1974), n.15; Modesti, Bailo (1984), n.5; Cristofani (1985), n.56, Tav.II, 3"
387,fragments of small cup,PC 18,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),510-490,mec[---],A single-handled cup with the surviving straps. The inscription was	written dextroverse on the outside of the vessel. /m/ was written	slanted and /e/ was written horizontally.,"Colonna (1994), Appendix II, G Bailo Modesti, Tav.III, 3"
388,kylix,PC 19,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),500-450,[---]xlnies,A single-handled cup with the surviving straps. The inscription was	written dextroverse on the outside of the vessel. /m/ was written	slanted and /e/ was written horizontally.,"Colonna (1974), n.16; Modesti, Bailo (1984), n.6; Cristofani (1985), n.57"
389,bowl,PC 20,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),510-490,ap[---],"Has the same origin as PC 18 (Colonna). The inscription was written	upside down on the outside of the bowl, pressed into the base.","Colonna (1994), Appendix II, G Bailo Modesti, Tav.V; IV, 1"
390,kylix,PC 21,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),450,maiśes tiχ,Hemispherical kylix. The inscription was written in a circle around the foot of the vessel.,"Colonna (1994), Appendix II, L. Cerchiai, Tav.V, 3; VI, 2; VII, 4"
391,fragments of wall,PC 22,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),510-490,[---]tiχ,Meagre fragments of a wall. Same origin as PC 18 (Colonna).,"Colonna (1994), Appendix II, G Bailo Modesti, Tavv.V, 2; VI, 4; VII, 1"
392,kylix,PC 23,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),450,satilas raiśiis,"Hemispherical kylix, from tomb 2955 in a necropolis in the Risorgimento	plaza. The inscription was carved on the outside within a ring of stone.	Colonna remarks that it is unlikely raiśiis has the reading raimis.","Colonna (1994), Appendix II, G Bailo Modesti, Tavv.V, 2; VI, 4; VII, 1"
393,small bowl,PC 24,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),450,minanatis,"Hemispherical kylix, from tomb 2955 in a necropolis in the Risorgimento	plaza. The inscription starts on the outside at the base of the vessel	and continues into a ring of stone. Colonna (1994) writes that minanatis is likely a misspelling of mina[na]tis.","Colonna (1994), Appendix II, G Bailo Modesti, Tavv.V, 2; VI, 4; VII, 1"
394,small bowl,PC 25,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),450,apices,"Sister of the last bowl, found in the same tomb. The inscription is on	the outside and crosses in and out of the ring of stone. The /c/ is moon	shaped and the /i/ was added as a pseudoligature.","Colonna (1994), Tav.V, 6; VI, 5; VII, 2"
395,small bowl,PC 26,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),450,ac,Small Attic bowl with a concave-convex wall. The inscription was written dextroverse on the outside of the vessel.,"L Cerchiai in ""AION ArchStAnt"" III, 1981, p.81, p.40, n.4, fig. 17 and 18, 1"
396,amphora,PC 27,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),450,pu[---],Wine amphora from Marseilles found in the same tomb as PC 26 (Colonna).	The inscription was written on the neck of the vessel after it was	fired.,"L Cerchiai in AION ArchStAnt III, 1981, p.81, p.40, n.4, fig. 17 and 18, 1"
397,small bowl,PC 28,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),600-500,[---]xpnas,Small bowl with a stone base. The inscription was written on the inside of the vessel in a circle.,"Modesti, Bailo (1984), n.13 ([---]unns dextroverse); Cristofani (1985), n.60"
398,small bowls,PC 29-30,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),600-580,cavriius,Two small bowls with stone bases. The inscriptions were written on the	inside of the vessels in a spiral and in different hands. The bars of	the /w/ are very close together.,"Modesti, Bailo (1984), n.13 ([---]unns dextroverse); Cristofani (1985), n.60"
399,olpetta,PC 31,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),400-350,acev,,"Modesti, Bailo (1984), n.12 (perpines); Cristofani (1985), n.64"
400,small bowl,PC 32,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),400-350,telpines,"The /t/ crosses horizontally, and the /l/ is a mess.","Modesti, Bailo (1984), n.12 (perpines); Cristofani (1985), n.64"
401,small bowl,PC 33-34,Giovanni Colonna,Funerary Texts,Campania (Pontecagnano),325-300,eitma peiclnas,Two small bowls with stone heels. The inscription was written on the	outside in a circle below the stone. The /t/ and /l/ were laid down	backwards.,"Colonna (1984), n.18-19 (leicunas); Modesti, Bailo (1984), n.7; Firenze 1985, p.131, 5.11; Cristofani, 1985, n.58"
402,cup (bucchero),FS 1,Giovanni Colonna,Funerary Texts,Fratte di Salerno,325-300,tris θafna k[---]χes,The inscription was written on the outside of the vessel.,"Colonna (1990), Fratte, pp.238, n.2 and pp.301-303, n.1 Tav.V, 7; VI, 6"
403,bowl (bucchero),FS 2,Giovanni Colonna,Funerary Texts,Fratte di Salerno,325-300,peiθrasia naclai caisiie nunies,"Bowl with a receding lip from the same tomb as FS 1 (Colonna). The	inscription was written on the outside around the base, upside down.","Colonna (1990), Fratte, pp.238, n.3 and pp.303 s., n.2 Tav.V, 4; VIII, 1, 3"
404,oenochoe (bucchero),FS 3,Giovanni Colonna,Funerary Texts,Fratte di Salerno,325-300,θθθθIII,The inscription was written dextroverse on the body of the vessel below	the attachment of the handle. It is probably a numeric sum or code.,"Colonna (1990), Fratte, pp.304, n.6"
405,lekythos (bucchero),FS 4,Giovanni Colonna,Funerary Texts,Fratte di Salerno,500,stl[ac]ie uφaliies mi,The inscription was written around the body of the vessel.,"Colonna (1974), n.7; Agostiniani (1982), p.66, n.79 (ufaliies); Firenze 1985, p.131, 5.8; Cristofani (1985), n.49"
406,kylix,FS 5,Giovanni Colonna,Funerary Texts,Fratte di Salerno,500-475,naie,The inscription was written on the inside of the vessel.,"Colonna (1974), n.10; Cristofani (1985), n.51; Fratte 1990, p.236, n.1"
407,kylix,FS 6,Giovanni Colonna,Funerary Texts,Fratte di Salerno,500-475,cuvsinu,The inscription was written on the inside of the vessel.,"Colonna (1974), n.9; Cristofani (1985), n.50"
408,small cup,FS 7,Giovanni Colonna,Funerary Texts,Fratte di Salerno,500-475,śpu[---],The inscription was written on the inside of the vessel.,"Colonna (1974), n.8"
409,small cup,FS 8,Giovanni Colonna,Funerary Texts,Fratte di Salerno,500-475,ati,The inscription was written on the inside of the vessel.,"Colonna, Fratte 1990, p.305, n.7, Tav.VI, 8"
410,small cup (bucchero),FS 9,Giovanni Colonna,Funerary Texts,Fratte di Salerno,500-475,ra[---],The inscription was written on the inside of the vessel. Another possible reading of the graffiti is ar.,"Colonna, Fratte 1990, pp.262, n.12 and 304, n.8"
411,skyphos,FS 10,Giovanni Colonna,Funerary Texts,Fratte di Salerno,450-425,θenuta,,"Colonna, Fratte 1990, p.262, n.12 and 304, n.3. Tav.VI, 7"
412,kylix,FS 11,Giovanni Colonna,Funerary Texts,Fratte di Salerno,425-400,śt[---],,"Colonna, Fratte 1990, p.272, n.2 and 305, n.8"
413,cup (bucchero),VE 1,Giovanni Colonna,Funerary Texts,Vico Equense,550-525,acvezθi,,"Colonna (1974), n.6; Firenze 1985, p.131, 5, 7; Pandolfini - Prosdocimi (1990) p.44, Tav. II, 9"
414,amphora,VE 2,Giovanni Colonna,Funerary Texts,Vico Equense,500-400,pape savfi,,"W. Corssen, in Ephemeris epigraphica III (1985), p.182, n.66; J. Zvetaieff, Sylloge inscriptionum Oscarum, Petropoli (1878), p.72, n.133, tav.XVIII, 1; R. S. Conway, The Italic Dialects I, Cambridge (1897), p.53, n.38; Weege, n.67; Vetter, n.133; C. Albore Livadie, in Il commercio etrusco arcaico, Rome (1985), p.140, XII: 9."
415,small cup,VE 3,Giovanni Colonna,Funerary Texts,Vico Equense,450-400,pai,The inscription was written on the outside of the vessel. The alpha is not crossed.,"Jovino, M. Bonghi, La necropoli preromana di Vico Equense, Cava dei Tirreni (1982), p.74, n.60, tav.116, 5"
416,small cup (bucchero),S 1,Giovanni Colonna,Funerary Texts,Stabiae,600-575,θanaχvil(u)s mi,The inscription was written dextroverse on the inside of the vessel.,"Colonna (1974), n.5; Cristofani (1985), n.48"
417,plates (bucchero),S 2-3,Giovanni Colonna,Funerary Texts,Stabiae,600-575,muses,Two flat plates with furrowed edges. The inscription was written on the inside of the vessel.,"REE (1979), n.30 (M. Pandolfini); REE (1985), n.15 (C. Albore Livadie)"
418,small bowl (bucchero),S 4,Giovanni Colonna,Funerary Texts,Stabiae,575-550,sina,"The bowl has a receding edge. The inscription was written in spiraliform	starting from the center of the vessel, and the letters themselves are	tall and thinly etched.","REE (1979), n.31 (M. Pandolfini); Cristofani (1990), p.116, n.4"
419,small bowl (bucchero),S 5,Giovanni Colonna,Funerary Texts,Stabiae,525-550,ita patara vinumaia,"The first two letters run into an /e/, as if the scribe had started to write eta instead. The first /a/ also gives a false start to the /p/.","REE (1979), n.32 (M. Pandolfini: he read it as hai instead of ita); Cristofani (1990), p.116, n.5"
420,kylix,S 6,Giovanni Colonna,Funerary Texts,Stabiae,500-475,vesinas,,"Unpublished, courtesy of the private collection of C. Albore Livadie."
421,fragments of cup (bucchero),P 1,Giovanni Colonna,Funerary Texts,Pompei,500-475,mix[---],Found at the temple of Apollo. Inscription was written on the outside of the vessel.,"Colonna (1974), n.1; De Caro (1986), p.61, n.266"
422,fragments of cup (bucchero),P 1,Giovanni Colonna,Funerary Texts,Pompei,Unknown,mix[---],Found at the temple of Apollo. Inscription was written on the outside of the vessel.,"Colonna (1974), n.1; De Caro (1986), p.61, n.266"
423,fragments of cup (bucchero),P 2,Giovanni Colonna,Funerary Texts,Pompei,Unknown,[---]aives,Found at the temple of Apollo. Inscription was written on the outside of the vessel.,"Colonna (1974), n.2; Cristofani (1985), n.45; De Caro (1986), p.62, n.278"
424,fragments of cup (bucchero),P 3,Giovanni Colonna,Funerary Texts,Pompei,Unknown,[---]xrzas[-?-],Found at the temple of Apollo. Inscription was written on the outside of the vessel.,"Colonna (1974), n.3; Cristofani (1985), n.47; De Caro (1986), p.65, n.351"
425,fragments of cup (bucchero),P 4,Giovanni Colonna,Funerary Texts,Pompei,Unknown,[m]i lusces,Found at the temple of Apollo. Inscription was written on the outside of the vessel.,"Colonna (1974), n.4; Cristofani (1985), n.47; De Caro (1986), p.63, n.305. Through REE (1983), n.177 (G. Colonna)."
426,fragments of cup (bucchero),P 5,Giovanni Colonna,Funerary Texts,Pompei,Unknown,mi,"Base of a cup. The /m/ in the inscription is missing the first two	peaks. It could be a χ originating from the center of the cup, or it	could also be a θ.","S. Steingräber, in RM 89 (1982), p.372 (itun); Cristofani (1990), p.116 (itun[---]). Tav.VIII, 2"
427,bowl,P 6,Giovanni Colonna,Funerary Texts,Pompei,Unknown,aule,,"Unpublished. There is a trace of such an inscriptino in Cristofani (1990), p.116, where he mentions the same au[le] on a kylix in the same area of Pompei."
428,fragment of bowl,P 7,Giovanni Colonna,Funerary Texts,Pompei,310-290,clacurt,"The fragment is the base of a bowl, and the inscription was written on	the outer side. It could possibly be a division or interpretation of cla[vtie] curt[e]. M. Bonghi Jovino considers the possible connection between the Oscan reading glav urt.","R. Arena, in Ricerche a Pompei. L'insula V della Regio VI dalle origini al 79 d.C. (in the care of M. Bonghi Jovino), Rome, 1984, p.70."
429,amphora,NS 1,Giovanni Colonna,Funerary Texts,Nocera Superiore,550-500,tat,,"C. Albore Livadie, in Il commerci etrusco arcaico, Rome, 1985, pp.132, 138, III: 3"
